Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude,Transmitter Type,Sensor Precision,commonname,taggingdate,seriesname,tagging_length_cm,eventid
2014-08-08T21:20:55Z,VR2W-121274,A69-1303-58458,NA,NA,NA,NA,WCO_MorsePoint,33.96657,-119.85468,NA,NA,White Shark,12/14/2011,Tomales 2011,518,191105100
2014-08-08T21:22:49Z,VR2W-121274,A69-1303-58458,NA,NA,NA,NA,WCO_MorsePoint,33.96657,-119.85468,NA,NA,White Shark,12/14/2011,Tomales 2011,518,191105100
2014-08-08T21:25:33Z,VR2W-121274,A69-1303-58458,NA,NA,NA,NA,WCO_MorsePoint,33.96657,-119.85468,NA,NA,White Shark,12/14/2011,Tomales 2011,518,191105100
2014-08-08T21:27:59Z,VR2W-121274,A69-1303-58458,NA,NA,NA,NA,WCO_MorsePoint,33.96657,-119.85468,NA,NA,White Shark,12/14/2011,Tomales 2011,518,191105100
2014-08-08T21:29:46Z,VR2W-121274,A69-1303-58458,NA,NA,NA,NA,WCO_MorsePoint,33.96657,-119.85468,NA,NA,White Shark,12/14/2011,Tomales 2011,518,191105100
2014-08-08T21:32:17Z,VR2W-121274,A69-1303-58458,NA,NA,NA,NA,WCO_MorsePoint,33.96657,-119.85468,NA,NA,White Shark,12/14/2011,Tomales 2011,518,191105100
2016-06-23T22:59:47Z,VR2W-123480,A69-1303-6347,NA,NA,NA,NA,WCO_MorsePoint,33.96657,-119.85468,NA,NA,White Shark,11/16/2014,Ano Nuevo 2014,488,191400700
2016-06-23T23:02:04Z,VR2W-123480,A69-1303-6347,NA,NA,NA,NA,WCO_MorsePoint,33.96657,-119.85468,NA,NA,White Shark,11/16/2014,Ano Nuevo 2014,488,191400700
2016-06-23T23:03:34Z,VR2W-123480,A69-1303-6347,NA,NA,NA,NA,WCO_MorsePoint,33.96657,-119.85468,NA,NA,White Shark,11/16/2014,Ano Nuevo 2014,488,191400700
2016-06-26T07:18:46Z,VR2W-123480,A69-1303-6347,NA,NA,NA,NA,WCO_MorsePoint,33.96657,-119.85468,NA,NA,White Shark,11/16/2014,Ano Nuevo 2014,488,191400700
2016-06-26T07:41:55Z,VR2W-123480,A69-1303-6347,NA,NA,NA,NA,WCO_MorsePoint,33.96657,-119.85468,NA,NA,White Shark,11/16/2014,Ano Nuevo 2014,488,191400700
2016-07-15T02:35:06Z,VR2W-110768,A69-1303-6165,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,NA,NA,White Shark,11/07/2015,Tomales 2015,427,191501100
2016-07-15T02:38:09Z,VR2W-110768,A69-1303-6165,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,NA,NA,White Shark,11/07/2015,Tomales 2015,427,191501100
2017-08-29T18:43:12Z,VR2W-110768,A69-1303-6349,NA,NA,NA,NA,WCO_Trailers,34.05095,-119.91005,NA,NA,White Shark,12/02/2015,Ano Nuevo 2015,518,191501500
2017-08-29T18:48:01Z,VR2W-110768,A69-1303-6349,NA,NA,NA,NA,WCO_Trailers,34.05095,-119.91005,NA,NA,White Shark,12/02/2015,Ano Nuevo 2015,518,191501500
2017-08-29T18:49:47Z,VR2W-110768,A69-1303-6349,NA,NA,NA,NA,WCO_Trailers,34.05095,-119.91005,NA,NA,White Shark,12/02/2015,Ano Nuevo 2015,518,191501500
2018-01-21T10:11:04Z,VR2W-110864,A69-9001-12140,NA,NA,NA,NA,WCO_Tyler Bight,34.01592,-120.33106,NA,NA,White Shark,11/07/2017,Ano Nuevo 2017,442,191706000
2018-01-21T10:12:16Z,VR2W-110864,A69-9001-12140,NA,NA,NA,NA,WCO_Tyler Bight,34.01592,-120.33106,NA,NA,White Shark,11/07/2017,Ano Nuevo 2017,442,191706000
2018-01-21T10:13:05Z,VR2W-110864,A69-9001-12140,NA,NA,NA,NA,WCO_Tyler Bight,34.01592,-120.33106,NA,NA,White Shark,11/07/2017,Ano Nuevo 2017,442,191706000
2018-01-21T10:14:06Z,VR2W-110864,A69-9001-12140,NA,NA,NA,NA,WCO_Tyler Bight,34.01592,-120.33106,NA,NA,White Shark,11/07/2017,Ano Nuevo 2017,442,191706000
2018-01-21T10:15:34Z,VR2W-110864,A69-9001-12140,NA,NA,NA,NA,WCO_Tyler Bight,34.01592,-120.33106,NA,NA,White Shark,11/07/2017,Ano Nuevo 2017,442,191706000
2018-01-21T10:16:54Z,VR2W-110864,A69-9001-12140,NA,NA,NA,NA,WCO_Tyler Bight,34.01592,-120.33106,NA,NA,White Shark,11/07/2017,Ano Nuevo 2017,442,191706000
2018-01-21T10:48:05Z,VR2W-110864,A69-9001-12140,NA,NA,NA,NA,WCO_Tyler Bight,34.01592,-120.33106,NA,NA,White Shark,11/07/2017,Ano Nuevo 2017,442,191706000
2018-01-21T10:49:14Z,VR2W-110864,A69-9001-12140,NA,NA,NA,NA,WCO_Tyler Bight,34.01592,-120.33106,NA,NA,White Shark,11/07/2017,Ano Nuevo 2017,442,191706000
2018-01-21T10:49:57Z,VR2W-110864,A69-9001-12140,NA,NA,NA,NA,WCO_Tyler Bight,34.01592,-120.33106,NA,NA,White Shark,11/07/2017,Ano Nuevo 2017,442,191706000
2018-01-21T10:50:46Z,VR2W-110864,A69-9001-12140,NA,NA,NA,NA,WCO_Tyler Bight,34.01592,-120.33106,NA,NA,White Shark,11/07/2017,Ano Nuevo 2017,442,191706000
2018-01-21T10:53:21Z,VR2W-110864,A69-9001-12140,NA,NA,NA,NA,WCO_Tyler Bight,34.01592,-120.33106,NA,NA,White Shark,11/07/2017,Ano Nuevo 2017,442,191706000
2018-01-22T08:23:40Z,VR2W-113881,A69-9001-12140,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,NA,NA,White Shark,11/07/2017,Ano Nuevo 2017,442,191706000
