"Transmitter","when_encountered","date_first_detected","date_last_detected","TNL_cm","YOY_detections","Juvenile_detections","Adult_detections"
"A69-9001-17757",2018-08-04,2019-08-31,2019-11-04,135,0,9,0
"A69-1601-30029",2012-08-16,2014-07-28,2022-11-03,145,0,94,8
"A69-9001-4305",2022-07-05,2022-07-25,2022-07-25,146.9,22,0,0
"A69-1602-3233",2018-04-15,2020-01-15,2020-01-15,150,0,3,0
"A69-1602-41962",2021-04-01,2021-04-26,2021-09-25,152,31,0,0
"A69-9001-24384",2017-06-20,2019-10-26,2022-05-24,152,0,71,27
"A69-9006-7851",2020-05-21,2020-07-21,2021-01-06,155,354,2,0
"A69-9006-7853",2020-05-21,2020-07-23,2020-11-10,155,209,0,0
"A69-9001-4708",2022-08-25,2022-08-28,2022-08-28,156.5,6,0,0
"A69-1303-46865",2015-12-16,2016-03-03,2016-03-03,160,4,0,0
"A69-1602-41970",2021-06-17,2022-03-08,2022-03-08,160,0,10,0
"A69-9001-13501",2018-08-29,2018-10-17,2023-02-07,160,13,121,18
"A69-9001-4319",2020-06-29,2020-11-16,2020-11-16,161,8,0,0
"A69-9001-4706",2021-10-14,2022-05-05,2022-05-05,163,0,3,0
"A69-9001-4712",2022-10-17,2022-11-05,2023-10-02,166.9,20,59,0
"A69-1602-3229",2018-04-15,2018-05-26,2018-07-03,167,39,0,0
"A69-9007-610",2021-06-02,2021-06-05,2021-11-13,168,25,33,0
"A69-9007-611",2021-06-02,2021-06-05,2021-11-13,168,28,34,0
"A69-1601-30031",2017-05-17,2020-12-18,2021-06-13,176,0,0,45
"A69-1303-45049",2017-05-10,2018-04-23,2019-06-04,182,0,34,0
"A69-9004-12214",2022-04-27,2022-08-14,2022-09-27,182.88,0,7,0
"A69-9004-12210",2022-05-05,2022-05-20,2022-05-23,182.9,0,4,0
"A69-1602-8659",2020-07-31,2020-08-03,2021-10-14,183,0,108,0
"A69-1602-8660",2020-04-03,2020-07-20,2020-07-20,183,0,3,0
"A69-1602-8668",2020-09-02,2020-09-03,2021-06-29,183,0,84,0
"A69-1602-8669",2020-07-31,2020-07-31,2021-06-29,183,0,231,0
"A69-9001-4339",2021-03-17,2021-03-21,2021-11-28,183,0,166,0
"A69-9001-62301",2021-10-06,2021-11-06,2023-10-11,183,0,14,0
"A69-9002-3590",2021-06-02,2021-06-06,2022-01-22,183,0,48,0
"A69-9002-3591",2021-06-02,2021-07-20,2022-01-06,183,0,42,0
"A69-9002-4561",2021-08-02,2021-08-28,2022-02-15,183,0,557,0
"A69-9006-7849",2020-05-21,2020-07-20,2021-01-15,183,0,480,0
"A69-9006-7854",2020-07-31,2020-08-01,2021-03-13,183,0,312,0
"A69-9007-612",2021-05-04,2021-05-22,2022-02-22,183,0,52,0
"A69-9007-613",2021-05-04,2021-05-06,2022-02-22,183,0,46,0
"A69-9002-3586",2021-06-02,2021-06-09,2021-11-23,185,0,7,0
"A69-9002-3587",2021-06-02,2021-06-23,2021-11-12,185,0,7,0
"A69-9001-63063",2021-08-25,2021-09-11,2021-11-25,192,0,4,0
"A69-9001-24387",2016-07-15,2018-01-04,2018-01-05,193,0,5,0
"A69-9001-4325",2020-04-03,2021-05-09,2021-05-09,197,0,4,0
"A69-1602-8658",2020-09-02,2020-09-04,2020-11-14,198,0,115,0
"A69-9001-4341",2021-03-24,2021-03-24,2021-12-29,198,0,36,0
"A69-9004-14390",2021-09-08,2021-09-19,2021-10-05,198,0,3,0
"A69-9004-14391",2021-09-08,2021-09-22,2021-10-05,198,0,2,0
"A69-9001-62307",2022-08-09,2023-02-02,2023-07-15,198.1,0,219,0
"A69-9004-12186",2022-09-02,2022-10-03,2023-04-30,198.1,0,345,0
"A69-9004-12205",2022-07-18,2023-07-21,2023-07-21,198.1,0,3,0
"A69-9001-4705",2021-08-11,2021-09-16,2021-09-25,199,0,5,0
"A69-9001-4340",2021-03-24,2021-03-25,2021-03-25,213,0,10,0
"A69-9004-14386",2021-08-27,2021-09-11,2022-11-27,213,0,20,0
"A69-9004-14387",2021-08-27,2021-09-11,2022-11-27,213,0,20,0
"A69-9007-606",2021-07-23,2021-08-03,2022-05-07,213,0,5,0
"A69-9007-607",2021-07-23,2021-08-03,2022-05-07,213,0,5,0
"A69-9001-63061",2021-09-10,2022-02-11,2022-02-11,213.36,0,2,0
"A69-9004-12212",2022-04-27,2022-05-18,2022-05-26,213.36,0,7,0
"A69-9004-12229",2022-04-27,2022-05-09,2023-03-05,213.36,0,92,0
"A69-9004-12188",2022-09-02,2022-10-03,2023-04-03,213.4,0,813,0
