Date.and.Time..UTC.,Receiver,Transmitter,Transmitter.Name,Transmitter.Serial,Sensor.Value,Sensor.Unit,Station.Name,Latitude,Longitude,Local_Time,Date,Month,Year,Hour,Season,Island,First_Detection,Last_Detection,animal_short_name,Transmitter_SN,tag_family,when_encountered,capture_method,tag_lat,tag_lon,tag_location,sex,TNL_cm,est_tag_expiry_date,Owner,standard_length_cm,disk_length,SciName
2015-05-08T14:06:28Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-08T14:06:28Z,2015-05-08,5,2015,7,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
2015-05-08T14:08:25Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-08T14:08:25Z,2015-05-08,5,2015,7,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
2015-05-08T14:13:09Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-08T14:13:09Z,2015-05-08,5,2015,7,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
2015-05-08T14:14:53Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-08T14:14:53Z,2015-05-08,5,2015,7,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
2015-05-12T03:28:00Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-12T03:28:00Z,2015-05-12,5,2015,20,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
2015-05-12T13:57:04Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-12T13:57:04Z,2015-05-12,5,2015,6,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
2015-05-12T13:59:30Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-12T13:59:30Z,2015-05-12,5,2015,6,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
2015-05-12T14:06:05Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-12T14:06:05Z,2015-05-12,5,2015,7,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
2015-05-13T02:34:45Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-13T02:34:45Z,2015-05-13,5,2015,19,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
2015-05-13T03:02:04Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-13T03:02:04Z,2015-05-13,5,2015,20,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
