Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude,Transmitter Type,Sensor Precision,Species,Tagging_Date,Tagging_Region,Sex,FL,TL,Code_Space,V16_ID,V16_SN
2019-08-07T14:21:31Z,VR2W-133753,A69-9001-13354,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,NA,NA,Galeorhinus galeus,2019-07-02T00:00:00Z,NCI,F,91,114,A69-9001,13354,1273161
2019-08-07T14:24:08Z,VR2W-133753,A69-9001-13354,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,NA,NA,Galeorhinus galeus,2019-07-02T00:00:00Z,NCI,F,91,114,A69-9001,13354,1273161
2019-08-07T14:28:52Z,VR2W-133753,A69-9001-13354,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,NA,NA,Galeorhinus galeus,2019-07-02T00:00:00Z,NCI,F,91,114,A69-9001,13354,1273161
2019-08-07T14:37:36Z,VR2W-133753,A69-9001-13354,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,NA,NA,Galeorhinus galeus,2019-07-02T00:00:00Z,NCI,F,91,114,A69-9001,13354,1273161
2019-08-07T14:39:42Z,VR2W-133753,A69-9001-13354,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,NA,NA,Galeorhinus galeus,2019-07-02T00:00:00Z,NCI,F,91,114,A69-9001,13354,1273161
2019-08-07T14:44:09Z,VR2W-133753,A69-9001-13354,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,NA,NA,Galeorhinus galeus,2019-07-02T00:00:00Z,NCI,F,91,114,A69-9001,13354,1273161
2019-08-07T14:45:48Z,VR2W-133753,A69-9001-13354,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,NA,NA,Galeorhinus galeus,2019-07-02T00:00:00Z,NCI,F,91,114,A69-9001,13354,1273161
2019-08-07T14:55:51Z,VR2W-133753,A69-9001-13354,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,NA,NA,Galeorhinus galeus,2019-07-02T00:00:00Z,NCI,F,91,114,A69-9001,13354,1273161
2019-08-07T15:01:10Z,VR2W-133753,A69-9001-13354,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,NA,NA,Galeorhinus galeus,2019-07-02T00:00:00Z,NCI,F,91,114,A69-9001,13354,1273161
2019-08-07T15:03:03Z,VR2W-133753,A69-9001-13354,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,NA,NA,Galeorhinus galeus,2019-07-02T00:00:00Z,NCI,F,91,114,A69-9001,13354,1273161
