"Transmitter","number_of_detections","first_detection","last_detection"
"A69-1601-62047",314201,2020-10-12 02:29:22,2023-10-27 20:54:21
"A69-1601-62096",172489,2021-10-29 21:26:51,2023-10-12 16:16:08
"A69-1602-9721",41007,2019-07-02 18:18:19,2021-03-04 14:42:06
"A69-1602-9720",34480,2018-07-19 19:54:56,2020-08-28 23:26:11
"A69-1602-16713",31734,2019-05-31 17:50:16,2022-06-11 19:22:09
"A69-1602-9712",25638,2018-07-19 18:45:07,2020-04-11 19:03:08
"A69-1602-9719",23042,2019-07-01 20:23:42,2021-02-22 00:24:24
"A69-1602-16715",20168,2019-10-17 17:09:12,2022-06-17 11:19:37
"A69-1602-9723",17331,2018-07-19 18:45:32,2021-02-22 23:29:10
"A69-1602-9716",13080,2018-08-14 16:12:07,2019-11-27 22:14:10
"A69-1602-9713",12313,2019-07-03 18:07:37,2021-06-25 15:37:45
"A69-1602-16716",11813,2019-05-30 22:02:54,2020-08-03 02:14:27
"A69-1602-16712",7776,2019-10-17 17:08:21,2021-06-12 13:25:32
"A69-1602-9718",7594,2018-07-19 19:24:34,2019-09-25 07:47:49
"A69-9001-2552",4491,2022-02-14 04:22:07,2023-07-17 14:55:52
"A69-1602-16710",3035,2020-10-15 13:40:58,2021-06-27 09:00:47
"A69-1601-62009",2596,2020-11-11 18:54:52,2020-12-09 17:50:17
"A69-1602-9714",912,2018-07-19 18:44:04,2020-03-18 19:01:17
"A69-1601-27071",835,2016-09-16 17:15:25,2019-02-02 20:10:52
"A69-1602-9722",691,2018-07-19 18:45:01,2019-04-09 22:00:30
"A69-1602-16718",464,2020-10-15 17:51:42,2020-12-08 21:03:51
"A69-9006-4060",250,2019-05-12 22:48:59,2019-05-29 01:27:28
"A69-1601-62095",241,2022-02-11 21:21:44,2022-03-29 23:06:09
"A69-1303-46140",213,2013-11-25 20:25:25,2013-12-10 20:30:55
"A69-1602-29792",203,2018-08-13 19:31:06,2018-09-09 07:12:19
"A69-1601-46843",156,2017-06-29 16:33:10,2017-07-12 01:08:47
"A69-9001-12060",144,2018-03-20 11:00:18,2020-03-17 04:15:09
"A69-1601-46826",135,2017-06-29 16:28:58,2017-07-12 01:08:52
"A69-1602-54057",127,2021-09-27 15:28:35,2021-12-31 05:37:46
"A69-9001-12140",113,2018-01-21 10:11:04,2018-03-27 21:18:52
"A69-9001-12141",111,2019-09-03 13:19:26,2021-12-13 20:10:03
"A69-1303-52074",106,2013-11-30 08:18:48,2014-11-25 08:11:54
"A69-9001-12153",101,2020-03-16 02:24:32,2020-05-14 16:39:22
"A69-9001-55574",87,2023-01-30 10:26:00,2023-10-26 09:10:26
"A69-1601-46760",81,2017-06-29 17:06:44,2017-07-12 01:51:42
"A69-9001-12065",53,2018-04-13 02:27:37,2018-09-16 05:47:39
"A69-1602-58588",50,2020-07-28 03:31:57,2020-07-30 20:39:30
"A69-1601-45707",48,2017-11-15 14:09:23,2017-12-05 20:16:01
"A69-1602-58593",48,2020-08-07 17:15:29,2021-02-24 08:31:15
"A69-1602-58596",47,2020-07-03 10:24:09,2020-09-10 01:06:53
"A69-1602-16711",41,2019-05-30 16:18:52,2019-07-03 18:32:53
"A69-1602-16714",32,2020-11-24 16:33:40,2022-04-18 19:23:22
"A69-1602-9717",32,2018-07-19 18:44:11,2019-07-03 18:19:58
"A69-9001-12148",32,2018-08-29 09:19:42,2018-09-21 13:29:09
"A69-9001-55589",31,2023-01-29 17:55:58,2023-02-20 08:28:50
"A69-1602-3235",29,2018-05-26 03:03:26,2018-07-03 05:25:01
"A69-1602-16719",27,2019-07-02 18:51:17,2019-07-03 18:16:39
"A69-9001-12144",23,2018-08-29 13:43:32,2018-11-03 18:58:01
"A69-1602-9715",22,2018-07-19 18:45:27,2019-07-02 21:59:05
"A69-1602-58097",20,2022-11-04 12:37:04,2023-02-14 23:18:20
"A69-1602-58597",20,2021-05-03 21:59:21,2021-05-04 05:47:57
"A69-1602-54050",17,2021-07-20 23:07:15,2021-07-22 06:18:48
"A69-1601-46727",13,2017-06-25 01:46:25,2017-06-25 04:17:50
"A69-9001-12159",12,2018-09-19 01:53:53,2020-07-15 01:00:57
"A69-9001-13032",12,2020-03-11 22:42:07,2020-03-14 10:43:21
"A69-9001-12053",10,2018-12-13 21:45:15,2018-12-14 01:50:57
"A69-1602-58590",8,2020-12-28 07:27:52,2020-12-28 07:45:07
"A69-1602-58589",7,2021-07-03 13:50:39,2022-07-12 03:58:49
"A69-1602-58598",7,2020-02-07 01:49:29,2020-02-07 02:01:25
"A69-1303-58458",6,2014-08-08 21:20:55,2014-08-08 21:32:17
"A69-1602-54051",6,2021-03-29 21:24:55,2021-04-03 12:52:32
"A69-1303-6347",5,2016-06-23 22:59:47,2016-06-26 07:41:55
"A69-1601-62065",5,2023-02-20 19:56:52,2023-02-23 05:00:39
"A69-9001-12062",5,2018-03-02 19:14:50,2021-07-24 06:29:31
"A69-1303-6338",4,2018-05-07 22:16:02,2018-05-24 13:50:44
"A69-1602-58591",4,2021-07-29 01:41:50,2021-07-29 01:49:05
"A69-1602-9671",4,2016-06-07 22:02:43,2020-10-05 19:44:31
"A69-9001-55586",4,2023-06-20 14:02:13,2023-06-21 03:17:54
"A69-1303-4097",3,2017-08-28 00:36:13,2019-10-01 21:52:50
"A69-1303-6349",3,2017-08-29 18:43:12,2017-08-29 18:49:47
"A69-1601-62006",3,2020-08-12 14:57:15,2020-11-29 18:44:19
