"Transmitter","number_of_detections","first_detection","last_detection","animal_short_name","Transmitter_SN","tag_family","when_encountered","capture_method","tag_lat","tag_lon","tag_location","sex","TNL_cm","SciName","est_tag_expiry_date","Owner","standard_length_cm","disk_length"
"A69-1601-62047",314201,2020-10-12 02:29:22,2023-10-27 20:54:21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-1601-62096",172489,2021-10-29 21:26:51,2023-10-12 16:16:08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-1602-9721",41007,2019-07-02 18:18:19,2021-03-04 14:42:06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-1602-9720",34480,2018-07-19 19:54:56,2020-08-28 23:26:11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-1602-16713",31734,2019-05-31 17:50:16,2022-06-11 19:22:09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-1602-9712",25638,2018-07-19 18:45:07,2020-04-11 19:03:08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-1602-9719",23042,2019-07-01 20:23:42,2021-02-22 00:24:24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-1602-16715",20168,2019-10-17 17:09:12,2022-06-17 11:19:37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-1602-9723",17331,2018-07-19 18:45:32,2021-02-22 23:29:10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-1602-9716",13080,2018-08-14 16:12:07,2019-11-27 22:14:10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-1602-9713",12313,2019-07-03 18:07:37,2021-06-25 15:37:45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-1602-16716",11813,2019-05-30 22:02:54,2020-08-03 02:14:27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-1602-16712",7776,2019-10-17 17:08:21,2021-06-12 13:25:32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-1602-9718",7594,2018-07-19 19:24:34,2019-09-25 07:47:49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-9001-2552",4491,2022-02-14 04:22:07,2023-07-17 14:55:52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-1602-16710",3035,2020-10-15 13:40:58,2021-06-27 09:00:47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-1601-62009",2596,2020-11-11 18:54:52,2020-12-09 17:50:17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-1601-27075",1633,2015-05-20 22:01:23,2020-11-23 21:11:18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seriola lalandi",NA,NA,NA,NA
"A69-9001-22778",1620,2017-05-10 17:06:26,2023-05-26 00:21:43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galeorhinus galeus",NA,NA,NA,NA
"A69-9001-8559",1438,2019-09-12 20:13:02,2023-03-13 05:42:46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galeorhinus galeus",NA,NA,NA,NA
"A69-9001-24655",1274,2015-11-09 09:21:42,2021-05-22 21:18:53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galeorhinus galeus",NA,NA,NA,NA
"A69-9001-22774",1222,2017-05-21 21:57:58,2021-07-18 00:59:31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galeorhinus galeus",NA,NA,NA,NA
"A69-1602-3228",953,2020-09-07 13:55:44,2021-10-16 09:46:31,"2020-44",1276575,"V13-1x-069k-3",2020-09-04,"dart",34.397899,-119.539882,"Carpinteria","F",243,"Carcharodon carcharias","6/19/2022","Chris Lowe",NA,NA
"A69-1602-9714",912,2018-07-19 18:44:04,2020-03-18 19:01:17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-9001-24664",851,2015-05-08 14:06:28,2019-05-13 15:20:36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myliobatis californica",NA,NA,NA,NA
"A69-9001-13354",845,2019-08-07 14:21:31,2023-10-07 18:39:27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galeorhinus galeus",NA,NA,NA,NA
"A69-1601-27071",835,2016-09-16 17:15:25,2019-02-02 20:10:52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-9004-12188",818,2022-09-28 03:45:09,2023-04-03 18:07:52,"2022-60",1513481,"V16P-6x-BLU-2-0204m",2022-09-02,"dart",32.9154,-117.26067,"Torrey Pines","F",213.4,"Carcharodon carcharias","8/30/2032","Chris Lowe",NA,NA
