Date.and.Time..UTC.,Receiver,Transmitter,Transmitter.Name,Transmitter.Serial,Sensor.Value,Sensor.Unit,Station.Name,Latitude,Longitude,Transmitter.Type,Sensor.Precision
2016-09-16 17:15:25,VR2W-113881,A69-1601-27071,,NA,,,WCO_Valley,33.97822,-119.66998,NA,NA
2016-09-16 17:16:05,VR2W-113881,A69-1601-27071,,NA,,,WCO_Valley,33.97822,-119.66998,NA,NA
2016-09-16 17:16:51,VR2W-113881,A69-1601-27071,,NA,,,WCO_Valley,33.97822,-119.66998,NA,NA
2016-09-16 17:19:17,VR2W-113881,A69-1601-27071,,NA,,,WCO_Valley,33.97822,-119.66998,NA,NA
2016-09-17 13:43:04,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-17 13:44:19,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-17 13:47:43,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-17 14:00:06,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-17 14:27:46,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-17 15:17:43,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-17 16:05:15,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-17 16:10:41,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-17 16:19:01,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-17 16:24:41,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
