"","Transmitter","Max_Detection_Span","Average_RI","NA","SE_RI","Max_MDD","Sex","TNL_cm"
"1","A69-9002-4561",0.468493150684932,0.485174908873293,NA,0.00635723059715646,45.5175104687808,"F",183
"2","A69-1602-3228",1.10684931506849,0.400251538627551,NA,0.00738381293066238,42.6521493464559,"F",243
"3","A69-1602-8658",0.194520547945205,0.952445652173913,NA,0.0114782381162662,41.6336488441813,"U",198
"4","A69-9001-12065",0.427397260273973,0.255555555555556,NA,0.0211176741200795,35.6379879567425,NA,NA
"5","A69-9004-12202",0.106849315068493,0.613095238095238,NA,0.0551680076701596,26.9351697274432,"F",182.9
"6","A69-9004-12188",0.512328767123288,0.603176110333041,NA,0.00702021965526269,26.5074559820887,"F",213.4
"7","A69-9004-12229",0.821917808219178,0.395380434782609,NA,0.0165947765369513,26.5074559820887,"F",213.36
"8","A69-9001-12140",0.175342465753425,0.306060606060606,NA,0.0179486485156535,24.4822375521707,NA,442
"9","A69-9002-3592",1.41643835616438,0.873943236714976,NA,0.0140972739152853,24.4822375521706,"F",220
"10","A69-9007-612",0.756164383561644,0.69893899204244,NA,0.0370054906017483,24.4822375521706,"M",183
"11","A69-9007-613",0.8,0.63695652173913,NA,0.032244341248242,24.4822375521706,"M",183
"12","A69-9004-12196",0.238356164383562,0.428571428571429,NA,0.0527534961339997,23.0392049165407,"M",213.4
"13","A69-9004-12233",0.427397260273973,0.397119341563786,NA,0.0551348189587418,23.0392049165407,"F",213.4
"14","A69-1602-8666",1.21095890410959,0.432001582278481,NA,0.00904986818393529,22.9196987336195,"U",227
"15","A69-9001-24384",2.57808219178082,0.306359753203607,NA,0.0122092085927516,22.9196987336195,"M",152
"16","A69-1602-3229",0.104109589041096,0.692307692307692,NA,0.0488199624526725,22.724340451273,"U",167
"17","A69-9004-12228",1.35616438356164,0.335858585858586,NA,0.0263229133770057,21.3857561111163,"F",228.6
"18","A69-1602-54057",0.26027397260274,0.608759842519685,NA,0.0173871249078372,17.1003836462074,NA,366
"19","A69-9004-12190",0.736986301369863,0.334975369458128,NA,0.0328941917526315,16.201433336685,"M",198.1
"20","A69-9004-12207",1.26575342465753,0.658620760281829,NA,0.0077523542378725,16.201433336685,"F",213.4
"21","A69-9006-7849",0.49041095890411,0.371537990196078,NA,0.00584949706266518,16.201433336685,"U",183
"22","A69-9001-62307",1.23561643835616,0.823182397959184,NA,0.0105386065221089,16.201433336685,"F",198.1
"23","A69-9001-8575",0.663013698630137,0.367547425474255,NA,0.0235803968119184,16.201433336685,"F",259
"24","A69-1602-58596",0.189041095890411,0.41063829787234,NA,0.0239939173900887,13.9335788340693,NA,396
"25","A69-9001-62301",2.11232876712329,0.205882352941176,NA,0.00773604279183369,13.9335788340693,"M",183
"26","A69-1303-45049",1.11506849315068,0.619329388560158,NA,0.0444967690105359,12.729181580598,"F",182
"27","A69-9001-13501",4.31232876712329,0.417597491671566,NA,0.0222790622865734,10.6928780555582,"M",160
"28","A69-9001-4341",0.767123287671233,0.368055555555556,NA,0.0515013783826088,10.6928780555582,"F",198
"29","A69-9002-3593",1.43013698630137,0.837444037444038,NA,0.0153695453690177,10.6928780555582,"F",220
"30","A69-9002-4562",1.55068493150685,0.883966565349544,NA,0.0103662133562918,10.6928780555582,"F",305
"31","A69-9004-12219",0.161643835616438,0.810729355033152,NA,0.0202466224223791,6.53947222022044,"M",335.3
"32","A69-9001-4712",0.972602739726027,0.247448979591837,NA,0.0111829203198074,5.19030485315072,"M",166.9
"33","A69-9004-12208",0.528767123287671,0.496825396825397,NA,0.0430899373065085,4.75823690525223,"U",228
"34","A69-1602-3236",1.36164383561644,0.5,NA,0,1.33500592007438,"U",210
"35","A69-9001-8565",0.865753424657534,0.1875,NA,0.0166330483705559,0.679816061745131,"U",289.56
"36","A69-1303-33545",0.0273972602739726,1,NA,0,0,NA,NA
"37","A69-1303-46865",2.2,0.5,NA,0,0,"F",160
"38","A69-1601-30029",9.10958904109589,0.5625,NA,0.0306231743679518,0,"M",145
"39","A69-1601-30031",0.484931506849315,0.603065134099617,NA,0.0412488105633033,0,"F",176
"40","A69-1602-3233",1.67397260273973,0.541666666666667,NA,0.0609937545592833,0,"U",150
"41","A69-1602-3234",0.0575342465753425,1,NA,0,0,"U",213
"42","A69-1602-3237",0.246575342465753,0.798747276688453,NA,0.0194884342017273,0,"U",239
"43","A69-1602-41962",0.416438356164384,1,NA,0,0,"M",152
"44","A69-1602-58589",1.02465753424658,0.5,NA,0,0,NA,427
"45","A69-1602-58593",0.550684931506849,0.313725490196078,NA,0.0116616961607381,0,NA,335
"46","A69-1602-8659",1.1972602739726,1,NA,0,0,"U",183
"47","A69-1602-8668",0.819178082191781,1,NA,0,0,"F",183
"48","A69-1602-8669",0.912328767123288,0.970887445887446,NA,0.00411255411255411,0,"F",183
"49","A69-1602-8671",0.13972602739726,1,NA,0,0,"F",259
"50","A69-1602-8672",1.10684931506849,0.465270684371808,NA,0.016910818323829,0,"F",230
"51","A69-9001-12060",1.99452054794521,0.521247982786444,NA,0.017162695054435,0,NA,335
"52","A69-9001-12062",3.3972602739726,0.333333333333333,NA,0,0,NA,396
"53","A69-9001-12141",4.29041095890411,0.153061224489796,NA,0.00503262206036808,0,NA,335
"54","A69-9001-12144",0.180821917808219,0.557971014492754,NA,0.0439695562476028,0,NA,290
"55","A69-9001-12148",0.063013698630137,1,NA,0,0,NA,NA
"56","A69-9001-12153",0.161643835616438,1,NA,0,0,NA,274
"57","A69-9001-12159",1.82191780821918,0.25,NA,0,0,NA,427
"58","A69-9001-17757",0.178082191780822,0.377777777777778,NA,0.0222222222222222,0,"M",135
"59","A69-9001-4324",1.34246575342466,0.981512605042017,NA,0.0040991283576887,0,"F",230
"60","A69-9001-4326",0.397260273972603,1,NA,0,0,"F",217
"61","A69-9001-4328",0.452054794520548,1,NA,0,0,"F",315
"62","A69-9001-4330",0.0821917808219178,1,NA,0,0,"F",259
"63","A69-9001-4331",0.736986301369863,1,NA,0,0,"F",259
"64","A69-9001-4332",1.18082191780822,1,NA,0,0,"F",229
"65","A69-9001-4336",2.11232876712329,0.555803571428572,NA,0.0254018703666811,0,"U",244
"66","A69-9001-4339",0.69041095890411,1,NA,0,0,"F",183
"67","A69-9001-4340",2.78356164383562,0.5,NA,0,0,"F",213
"68","A69-9001-4342",1.1041095890411,1,NA,0,0,"F",305
"69","A69-9001-4343",0.101369863013699,1,NA,0,0,"F",243
"70","A69-9001-4705",0.0246575342465753,1,NA,0,0,"M",199
"71","A69-9001-4708",1.39452054794521,0.5,NA,0,0,"M",156.5
"72","A69-9001-4711",1.41369863013699,0.619047619047619,NA,0.0476190476190476,0,"F",211
"73","A69-9001-55574",1.13972602739726,0.836539306104524,NA,0.0083541727585958,0,NA,NA
"74","A69-9001-55589",0.0602739726027397,0.410138248847926,NA,0.0128151481503006,0,NA,305
"75","A69-9001-62299",0.0849315068493151,1,NA,0,0,"F",243
"76","A69-9001-63057",0.232876712328767,1,NA,0,0,"F",274
