,Transmitter,tag_location,tag_lon,tag_lat,days_detected,Owner
1,A69-1602-3228,Carpinteria,-119.539882,34.397899,141,Chris Lowe
2,A69-1602-3237,Carpinteria,-119.539882,34.397899,24,Chris Lowe
3,A69-1602-8658,Carpinteria,-119.539882,34.397899,32,Chris Lowe
4,A69-1602-8659,Carpinteria,-119.539882,34.397899,41,Chris Lowe
5,A69-1602-8660,Carpinteria,-119.5475,34.404,1,Chris Lowe
6,A69-1602-8668,Carpinteria,-119.539882,34.397899,22,Chris Lowe
7,A69-1602-8669,Carpinteria,-119.539882,34.397899,40,Chris Lowe
8,A69-1602-8671,Carpinteria,-119.539882,34.397899,15,Chris Lowe
9,A69-1602-8672,Carpinteria,-119.539882,34.397899,22,Chris Lowe
10,A69-9001-4324,Carpinteria,-119.5475,34.404,119,Chris Lowe
11,A69-9001-4325,Carpinteria,-119.5475,34.404,1,Chris Lowe
12,A69-9001-4326,Carpinteria,-119.5475,34.404,42,Chris Lowe
13,A69-9001-4328,Carpinteria,-119.5475,34.404,80,Chris Lowe
14,A69-9001-4330,Carpinteria,-119.5475,34.404,18,Chris Lowe
15,A69-9001-4331,Carpinteria,-119.5475,34.404,28,Chris Lowe
16,A69-9001-4332,Carpinteria,-119.5475,34.404,80,Chris Lowe
17,A69-9001-4336,Carpinteria,-119.551955,34.401352,28,Chris Lowe
18,A69-9001-4339,Carpinteria,-119.5519,34.405808,70,Chris Lowe
19,A69-9001-4340,Carpinteria,-119.553889,34.410833,2,Chris Lowe
20,A69-9001-4341,Carpinteria,-119.552222,34.407222,8,Chris Lowe
21,A69-9001-4342,Carpinteria,-119.539882,34.397899,61,Chris Lowe
22,A69-9001-4343,Carpinteria,-119.546389,34.401111,11,Chris Lowe
23,A69-9001-62299,Carpinteria,-119.546619,34.402052,12,Chris Lowe
24,A69-9001-62301,Carpinteria,-119.558,34.41,17,Chris Lowe
25,A69-9001-63057,Carpinteria,-119.561933,34.412692,38,Chris Lowe
26,A69-9001-63062,Carpinteria,-119.55908,34.4097,11,Chris Lowe
27,A69-9002-3586,Carpinteria,-119.562,34.41252,5,Chris Lowe
28,A69-9002-3587,Carpinteria,-119.562,34.41252,6,Chris Lowe
29,A69-9002-3590,Carpinteria,-119.545,34.39888,19,Chris Lowe
30,A69-9002-3591,Carpinteria,-119.545,34.39888,15,Chris Lowe
31,A69-9002-3592,Carpinteria,-119.541996,34.398305,64,Chris Lowe
32,A69-9002-3593,Carpinteria,-119.541996,34.398305,65,Chris Lowe
33,A69-9002-4559,Carpinteria,-119.54009,34.394043,22,Chris Lowe
34,A69-9002-4560,Carpinteria,-119.53609,34.394147,20,Chris Lowe
35,A69-9002-4561,Carpinteria,-119.56364,34.4136,33,Chris Lowe
36,A69-9002-4562,Carpinteria,-119.538109,34.394522,40,Chris Lowe
37,A69-9002-9538,Carpinteria,-119.54331,34.38872,11,Chris Lowe
38,A69-9004-12210,Carpinteria,-119.549353,34.4039279,3,Chris Lowe
39,A69-9004-12212,Carpinteria,-119.555,34.40827,3,Chris Lowe
40,A69-9004-12213,Carpinteria,-119.555042,34.408973,2,Chris Lowe
41,A69-9004-12214,Carpinteria,-119.556,34.409,2,Chris Lowe
42,A69-9004-12229,Carpinteria,-119.556,34.40894,32,Chris Lowe
43,A69-9004-12231,Carpinteria,-119.5527697,34.4072883,4,Chris Lowe
44,A69-9004-12232,Carpinteria,-119.5527697,34.4072883,2,Chris Lowe
45,A69-9004-14386,Carpinteria,-119.553178,34.307401,12,Chris Lowe
46,A69-9004-14387,Carpinteria,-119.553178,34.307401,11,Chris Lowe
47,A69-9004-14388,Carpinteria,-119.55765,34.404472,8,Chris Lowe
48,A69-9004-14389,Carpinteria,-119.55765,34.404472,7,Chris Lowe
49,A69-9004-14390,Carpinteria,-119.568694,34.412137,3,Chris Lowe
50,A69-9004-14391,Carpinteria,-119.568694,34.412137,2,Chris Lowe
51,A69-9004-14392,Carpinteria,-119.558748,34.410823,12,Chris Lowe
52,A69-9004-14393,Carpinteria,-119.558748,34.410823,10,Chris Lowe
53,A69-9004-14394,Carpinteria,-119.558748,34.408573,13,Chris Lowe
54,A69-9004-14395,Carpinteria,-119.558748,34.408573,14,Chris Lowe
55,A69-9004-6893,Carpinteria,-119.54489,34.40008,1,Chris Lowe
56,A69-9004-6894,Carpinteria,-119.54489,34.40008,1,Chris Lowe
57,A69-9004-6895,Carpinteria,-119.55135,34.40328,1,Chris Lowe
58,A69-9006-7849,Carpinteria,-119.5475,34.404,68,Chris Lowe
59,A69-9006-7850,Carpinteria,-119.539882,34.397899,45,Chris Lowe
60,A69-9006-7851,Carpinteria,-119.5475,34.404,30,Chris Lowe
61,A69-9006-7852,Carpinteria,-119.539882,34.397899,3,Chris Lowe
62,A69-9006-7853,Carpinteria,-119.5475,34.404,21,Chris Lowe
63,A69-9006-7854,Carpinteria,-119.539882,34.397899,30,Chris Lowe
64,A69-9007-606,Carpinteria,-119.5629,34.413109,3,Chris Lowe
65,A69-9007-607,Carpinteria,-119.5629,34.413109,3,Chris Lowe
66,A69-9007-608,Carpinteria,-119.539781,34.395263,40,Chris Lowe
67,A69-9007-609,Carpinteria,-119.539781,34.395263,39,Chris Lowe
68,A69-9007-610,Carpinteria,-119.557,34.41016,13,Chris Lowe
69,A69-9007-611,Carpinteria,-119.557,34.41016,14,Chris Lowe
70,A69-9007-612,Carpinteria,-119.5614,34.41528,29,Chris Lowe
71,A69-9007-613,Carpinteria,-119.5614,34.41528,20,Chris Lowe
72,A69-1602-41962,Del Mar,-117.270783,32.951648,8,Chris Lowe
73,A69-1602-41970,Del Mar,-117.271898,32.956213,1,Chris Lowe
74,A69-1602-8666,Del Mar,-117.268841,32.962613,64,Chris Lowe
75,A69-9001-63061,Del Mar,-117.267535,32.947642,1,Chris Lowe
76,A69-9004-12239,Del Mar,-117.269957,32.951165,3,Chris Lowe
77,A69-9004-12240,Del Mar,-117.269957,32.951165,3,Chris Lowe
78,A69-9001-4985,Diablo Canyon,-120.86189,35.20901,3,Chris Lowe
79,A69-9001-8565,Diablo Canyon,-120.86189,35.20901,16,Chris Lowe
