"","Transmitter","Max_Detection_Span","Average_RI","NA","SE_RI","Max_MDD","Sex","TNL_cm"
"1","A69-9001-22774",4.16164383561644,0.233813575404858,NA,0.00253055374205418,27.7932617017656,NA,NA
"2","A69-9001-13354",4.61095890410959,0.464667424204996,NA,0.00607453010329311,23.5849683373518,"F",114
"3","A69-9001-26872",3.01369863013699,0.308617886178862,NA,0.00635247264973006,23.0392049165406,NA,NA
"4","A69-9001-24655",5.53698630136986,0.289347452258124,NA,0.00547228471923372,17.1003836462074,NA,NA
"5","A69-9001-8559",4.43013698630137,0.364213197969543,NA,0.00171564086398866,17.1003836462074,"F",154
"6","A69-9001-22777",2.56986301369863,0.315892901007123,NA,0.00642208824371493,17.1003836462073,NA,NA
"7","A69-9001-24584",0.742465753424657,0.473484848484849,NA,0.0371269645051842,17.1003836462073,NA,NA
"8","A69-9001-22769",0.147945205479452,0.272222222222222,NA,0.00732875164888844,12.220955049619,NA,NA
"9","A69-9001-26868",1.04109589041096,0.518552875695733,NA,0.0215932301732834,10.6928780555582,NA,NA
"10","A69-9001-22778",6.04657534246575,0.274952516619184,NA,0.00345049234273627,10.0928947197757,NA,NA
"11","A69-9001-13339",4.40547945205479,0.285714285714286,NA,0.0461955267054952,0,"F",122
"12","A69-9001-13343",1.07123287671233,0.645214521452145,NA,0.016716499623118,0,"F",123
"13","A69-9001-13353",2.07397260273973,0.601851851851852,NA,0.0222992492199857,0,"F",126
"14","A69-9001-22770",2.52876712328767,1,NA,0,0,NA,NA
"15","A69-9001-22779",1.58904109589041,0.53469387755102,NA,0.0125660344043304,0,NA,NA
"16","A69-9001-24586",1.92328767123288,0.164648910411622,NA,0.0130662443721977,0,NA,NA
"17","A69-9001-24596",3.06027397260274,1,NA,0,0,NA,NA
"18","A69-9001-24598",2.77260273972603,0.444444444444444,NA,0.0702728368926307,0,NA,NA
"19","A69-9001-24661",1.04931506849315,0.485894097222223,NA,0.00546433755115648,0,NA,NA
"20","A69-9001-24663",3.04383561643836,0.585,NA,0.00843527392286973,0,NA,NA
"21","A69-9001-24665",5.88219178082192,0.196280379371666,NA,0.00150766269146384,0,NA,NA
"22","A69-9001-24667",0.073972602739726,0.787114845938375,NA,0.0300386702934555,0,NA,NA
"23","A69-9001-26864",1.52876712328767,0.607142857142857,NA,0.0505076272276105,0,NA,NA
"24","A69-9001-26866",0.210958904109589,0.5,NA,0,0,NA,NA
"25","A69-9001-26867",1.96986301369863,0.5,NA,0,0,NA,NA
"26","A69-9001-26871",1.08767123287671,0.675115207373272,NA,0.00908013319748559,0,NA,NA
"27","A69-9001-26873",1.78630136986301,0.39581589958159,NA,0.00185539570556971,0,NA,NA
"28","A69-9001-8009",1.1041095890411,0.38046875,NA,0.0110813359343564,0,"F",151
"29","A69-9001-8556",0.827397260273973,0.5,NA,0,0,"M",106
"30","A69-9001-8558",0.243835616438356,0.512820512820513,NA,0.0108112056757893,0,"F",161
