Transmitter,SciName,first_detection,last_detection
A69-1601-62047,NA,2020-10-12T02:29:22Z,2023-10-27T20:54:21Z
A69-1601-62096,NA,2021-10-29T21:26:51Z,2023-10-12T16:16:08Z
A69-1602-9721,NA,2019-07-02T18:18:19Z,2021-03-04T14:42:06Z
A69-1602-9720,NA,2018-07-19T19:54:56Z,2020-08-28T23:26:11Z
A69-1602-16713,NA,2019-05-31T17:50:16Z,2022-06-11T19:22:09Z
A69-1602-9712,NA,2018-07-19T18:45:07Z,2020-04-11T19:03:08Z
A69-1602-9719,NA,2019-07-01T20:23:42Z,2021-02-22T00:24:24Z
A69-1602-16715,NA,2019-10-17T17:09:12Z,2022-06-17T11:19:37Z
A69-1602-9723,NA,2018-07-19T18:45:32Z,2021-02-22T23:29:10Z
A69-1602-9716,NA,2018-08-14T16:12:07Z,2019-11-27T22:14:10Z
A69-1602-9713,NA,2019-07-03T18:07:37Z,2021-06-25T15:37:45Z
A69-1602-16716,NA,2019-05-30T22:02:54Z,2020-08-03T02:14:27Z
A69-1602-16712,NA,2019-10-17T17:08:21Z,2021-06-12T13:25:32Z
A69-1602-9718,NA,2018-07-19T19:24:34Z,2019-09-25T07:47:49Z
A69-9001-2552,NA,2022-02-14T04:22:07Z,2023-07-17T14:55:52Z
A69-1602-16710,NA,2020-10-15T13:40:58Z,2021-06-27T09:00:47Z
A69-1601-62009,NA,2020-11-11T18:54:52Z,2020-12-09T17:50:17Z
A69-1601-27075,Seriola lalandi,2015-05-20T22:01:23Z,2020-11-23T21:11:18Z
A69-9001-22778,Galeorhinus galeus,2017-05-10T17:06:26Z,2023-05-26T00:21:43Z
A69-9001-8559,Galeorhinus galeus,2019-09-12T20:13:02Z,2023-03-13T05:42:46Z
A69-9001-24655,Galeorhinus galeus,2015-11-09T09:21:42Z,2021-05-22T21:18:53Z
A69-9001-22774,Galeorhinus galeus,2017-05-21T21:57:58Z,2021-07-18T00:59:31Z
A69-1602-3228,Carcharodon carcharias,2020-09-07T13:55:44Z,2021-10-16T09:46:31Z
A69-1602-9714,NA,2018-07-19T18:44:04Z,2020-03-18T19:01:17Z
A69-9001-24664,Myliobatis californica,2015-05-08T14:06:28Z,2019-05-13T15:20:36Z
A69-9001-13354,Galeorhinus galeus,2019-08-07T14:21:31Z,2023-10-07T18:39:27Z
A69-1601-27071,NA,2016-09-16T17:15:25Z,2019-02-02T20:10:52Z
A69-9004-12188,Carcharodon carcharias,2022-09-28T03:45:09Z,2023-04-03T18:07:52Z
A69-9001-4328,Carcharodon carcharias,2020-07-20T20:13:42Z,2021-01-01T11:12:35Z
A69-1602-9722,NA,2018-07-19T18:45:01Z,2019-04-09T22:00:30Z
A69-9001-22777,Galeorhinus galeus,2017-06-20T07:46:17Z,2020-01-14T07:42:13Z
A69-1602-12253,Myliobatis californica,2023-09-23T16:16:03Z,2023-09-28T00:03:01Z
A69-9001-24596,Galeorhinus galeus,2016-07-20T19:36:13Z,2019-08-11T12:46:56Z
A69-9001-4324,Carcharodon carcharias,2020-07-20T19:33:24Z,2021-11-22T03:45:27Z
A69-9001-24661,Galeorhinus galeus,2015-07-10T15:01:28Z,2016-08-11T09:57:42Z
A69-9002-4561,Carcharodon carcharias,2021-08-28T00:32:31Z,2022-02-15T23:00:03Z
A69-9001-24665,Galeorhinus galeus,2016-10-01T05:41:42Z,2022-08-18T01:07:44Z
A69-9006-7849,Carcharodon carcharias,2020-07-20T19:34:04Z,2021-01-15T05:54:41Z
A69-1602-16718,NA,2020-10-15T17:51:42Z,2020-12-08T21:03:51Z
A69-9001-4326,Carcharodon carcharias,2020-07-20T19:30:07Z,2020-12-12T14:40:18Z
A69-9001-22770,Galeorhinus galeus,2017-01-26T13:22:13Z,2019-08-07T02:34:09Z
A69-1602-8666,Carcharodon carcharias,2020-11-21T10:58:05Z,2022-02-06T14:45:54Z
A69-9004-12207,Carcharodon carcharias,2023-01-27T21:58:42Z,2023-10-26T17:43:20Z
A69-9006-7851,Carcharodon carcharias,2020-07-21T18:59:59Z,2021-01-09T12:25:27Z
A69-9001-4332,Carcharodon carcharias,2020-09-25T14:54:15Z,2021-11-30T12:42:26Z
A69-9004-12186,Carcharodon carcharias,2022-10-03T18:00:42Z,2023-04-30T18:47:08Z
A69-9002-4562,Carcharodon carcharias,2021-08-13T08:15:55Z,2023-03-02T06:34:53Z
A69-9006-7854,Carcharodon carcharias,2020-08-01T06:50:17Z,2021-03-13T17:18:52Z
A69-9001-13343,Galeorhinus galeus,2019-10-15T21:59:31Z,2020-11-09T20:29:24Z
A69-9001-4331,Carcharodon carcharias,2020-07-22T11:50:44Z,2021-04-17T10:30:35Z
A69-1602-41969,Myliobatis californica,2021-09-21T22:17:04Z,2022-11-03T00:40:00Z
A69-9006-4060,NA,2019-05-12T22:48:59Z,2019-05-29T01:27:28Z
A69-9001-26872,Galeorhinus galeus,2014-05-06T12:45:50Z,2017-05-10T06:04:37Z
A69-9001-26873,Galeorhinus galeus,2015-04-23T09:44:02Z,2017-04-01T02:52:14Z
A69-1601-62095,NA,2022-02-11T21:21:44Z,2022-03-29T23:06:09Z
A69-1602-8669,Carcharodon carcharias,2020-07-31T19:03:21Z,2021-06-29T04:33:44Z
A69-9001-62307,Carcharodon carcharias,2023-02-02T06:37:23Z,2023-07-15T13:44:36Z
A69-1303-46140,NA,2013-11-25T20:25:25Z,2013-12-10T20:30:55Z
A69-9006-7853,Carcharodon carcharias,2020-07-23T01:17:17Z,2020-11-10T15:53:16Z
A69-9002-3592,Carcharodon carcharias,2021-07-20T21:31:13Z,2022-12-19T23:19:16Z
A69-1602-29792,NA,2018-08-13T19:31:06Z,2018-09-09T07:12:19Z
A69-9001-4342,Carcharodon carcharias,2020-09-06T00:10:51Z,2021-10-14T04:41:14Z
A69-9002-3593,Carcharodon carcharias,2021-07-05T09:12:18Z,2022-12-09T06:26:20Z
A69-9001-26871,Galeorhinus galeus,2015-06-30T20:13:21Z,2016-07-31T14:03:10Z
A69-9006-7850,Carcharodon carcharias,2020-07-20T20:47:05Z,2021-03-15T21:35:04Z
A69-9001-22769,Galeorhinus galeus,2021-02-04T07:20:35Z,2021-03-30T02:13:36Z
A69-9007-609,Carcharodon carcharias,2021-08-28T10:58:54Z,2021-11-17T04:50:56Z
A69-9001-4339,Carcharodon carcharias,2021-03-21T11:12:40Z,2021-11-28T16:11:55Z
A69-9001-13501,Carcharodon carcharias,2018-10-17T13:53:26Z,2023-02-07T10:48:16Z
A69-9007-608,Carcharodon carcharias,2021-08-28T10:59:58Z,2021-11-17T04:52:14Z
A69-1601-46843,NA,2017-06-29T16:33:10Z,2017-07-12T01:08:47Z
A69-1602-3237,Carcharodon carcharias,2020-07-31T19:40:44Z,2020-10-29T03:13:05Z
A69-9001-12060,Carcharodon carcharias,2018-03-20T11:00:18Z,2020-03-17T04:15:09Z
A69-1602-41963,Myliobatis californica,2021-09-21T19:17:08Z,2021-11-03T13:50:47Z
A69-1601-46826,NA,2017-06-29T16:28:58Z,2017-07-12T01:08:52Z
A69-9002-4559,Carcharodon carcharias,2021-08-21T11:51:48Z,2021-11-11T12:52:15Z
A69-9001-8009,Galeorhinus galeus,2019-10-24T21:08:11Z,2020-11-30T21:30:59Z
A69-1602-54057,Carcharodon carcharias,2021-09-27T15:28:35Z,2021-12-31T05:37:46Z
A69-9001-8575,Carcharodon carcharias,2020-07-23T23:53:57Z,2021-03-22T02:25:37Z
A69-1602-8658,Carcharodon carcharias,2020-09-04T15:24:04Z,2020-11-14T13:20:14Z
A69-9001-12140,Carcharodon carcharias,2018-01-21T10:11:04Z,2018-03-27T21:18:52Z
A69-9001-12141,Carcharodon carcharias,2019-09-03T13:19:26Z,2021-12-13T20:10:03Z
A69-1602-8659,Carcharodon carcharias,2020-08-03T14:21:18Z,2021-10-14T22:36:54Z
A69-1303-52074,NA,2013-11-30T08:18:48Z,2014-11-25T08:11:54Z
A69-1601-30029,Carcharodon carcharias,2014-07-28T04:46:56Z,2022-11-03T11:17:51Z
A69-9001-12153,Carcharodon carcharias,2020-03-16T02:24:32Z,2020-05-14T16:39:22Z
A69-9001-24384,Carcharodon carcharias,2019-10-26T16:33:15Z,2022-05-24T06:03:54Z
A69-9001-4336,Carcharodon carcharias,2020-08-31T17:43:33Z,2022-10-11T09:24:45Z
A69-9004-12229,Carcharodon carcharias,2022-05-09T06:38:51Z,2023-03-05T08:47:08Z
A69-1602-8672,Carcharodon carcharias,2020-09-05T18:33:46Z,2021-10-14T14:25:09Z
A69-9001-55574,Carcharodon carcharias,2023-01-30T10:26:00Z,2023-10-26T09:10:26Z
A69-9001-63057,Carcharodon carcharias,2021-09-09T17:57:40Z,2021-12-03T12:49:48Z
A69-1602-8668,Carcharodon carcharias,2020-09-03T10:49:18Z,2021-06-29T04:29:39Z
A69-9002-4560,Carcharodon carcharias,2021-09-13T03:42:45Z,2021-11-26T01:55:12Z
A69-1601-46760,NA,2017-06-29T17:06:44Z,2017-07-12T01:51:42Z
A69-9001-26868,Galeorhinus galeus,2014-10-31T08:29:47Z,2015-11-15T06:28:48Z
A69-9001-4712,Carcharodon carcharias,2022-11-05T22:06:08Z,2023-10-02T17:35:57Z
A69-9001-4330,Carcharodon carcharias,2020-07-21T07:36:11Z,2020-08-20T18:41:57Z
A69-9001-22779,Galeorhinus galeus,2017-05-31T09:21:53Z,2019-01-01T11:47:19Z
A69-9007-611,Carcharodon carcharias,2021-06-05T14:32:42Z,2021-11-13T12:47:57Z
A69-9001-24586,Galeorhinus galeus,2016-04-29T00:42:43Z,2019-06-08T01:33:38Z
A69-1602-12252,Myliobatis californica,2023-08-22T17:23:30Z,2023-09-13T22:19:27Z
A69-9007-610,Carcharodon carcharias,2021-06-05T14:31:32Z,2021-11-13T12:47:06Z
A69-9001-24667,Galeorhinus galeus,2014-11-24T00:39:09Z,2015-03-07T04:14:01Z
A69-9001-12065,Carcharodon carcharias,2018-04-13T02:27:37Z,2018-09-16T05:47:39Z
A69-9007-612,Carcharodon carcharias,2021-05-22T08:10:53Z,2022-02-22T12:09:59Z
A69-1602-41967,Myliobatis californica,2021-09-21T22:03:23Z,2021-09-24T03:54:46Z
A69-1602-58588,Carcharodon carcharias,2020-07-28T03:31:57Z,2020-07-30T20:39:30Z
A69-9001-4343,Carcharodon carcharias,2021-03-24T18:21:15Z,2021-04-30T12:55:13Z
A69-1601-45707,NA,2017-11-15T14:09:23Z,2017-12-05T20:16:01Z
A69-1602-58593,Carcharodon carcharias,2020-08-07T17:15:29Z,2021-02-24T08:31:15Z
A69-9002-3590,Carcharodon carcharias,2021-06-06T20:04:29Z,2022-01-22T07:50:04Z
A69-1602-58596,Carcharodon carcharias,2020-07-03T10:24:09Z,2020-09-10T01:06:53Z
A69-1602-8671,Carcharodon carcharias,2020-09-05T15:19:12Z,2020-10-26T15:20:05Z
A69-9007-613,Carcharodon carcharias,2021-05-06T17:14:41Z,2022-02-22T12:11:15Z
A69-1601-30031,Carcharodon carcharias,2020-12-18T21:06:32Z,2021-06-13T12:09:30Z
A69-9001-24584,Galeorhinus galeus,2015-11-19T00:34:09Z,2016-08-16T18:47:36Z
A69-9001-8565,Carcharodon carcharias,2020-05-07T03:01:49Z,2021-03-19T15:08:57Z
A69-9002-3591,Carcharodon carcharias,2021-07-20T10:08:24Z,2022-01-06T07:39:41Z
A69-1602-16711,NA,2019-05-30T16:18:52Z,2019-07-03T18:32:53Z
A69-9001-24663,Galeorhinus galeus,2015-07-10T08:33:06Z,2018-07-25T10:18:27Z
A69-1601-36266,Stereolepis gigas,2016-05-24T20:21:21Z,2016-07-02T22:02:46Z
A69-1303-45049,Carcharodon carcharias,2018-04-23T13:02:02Z,2019-06-04T11:31:03Z
A69-1602-3229,Carcharodon carcharias,2018-05-26T03:04:42Z,2018-07-03T05:23:48Z
A69-9001-13353,Galeorhinus galeus,2019-09-10T17:10:56Z,2021-10-06T08:03:59Z
A69-9001-4341,Carcharodon carcharias,2021-03-24T20:42:53Z,2021-12-29T01:49:34Z
A69-9004-12228,Carcharodon carcharias,2022-12-28T01:03:04Z,2023-02-16T19:24:38Z
A69-1602-16714,NA,2020-11-24T16:33:40Z,2022-04-18T19:23:22Z
A69-1602-9717,NA,2018-07-19T18:44:11Z,2019-07-03T18:19:58Z
A69-9001-12148,Carcharodon carcharias,2018-08-29T09:19:42Z,2018-09-21T13:29:09Z
A69-1602-41962,Carcharodon carcharias,2021-04-26T15:28:35Z,2021-09-25T15:48:39Z
A69-9001-55589,Carcharodon carcharias,2023-01-29T17:55:58Z,2023-02-20T08:28:50Z
A69-9001-62299,Carcharodon carcharias,2021-10-17T12:30:48Z,2021-11-17T04:54:38Z
A69-1602-3235,NA,2018-05-26T03:03:26Z,2018-07-03T05:25:01Z
A69-1602-16719,NA,2019-07-02T18:51:17Z,2019-07-03T18:16:39Z
A69-9001-63062,Carcharodon carcharias,2021-08-01T05:27:30Z,2021-10-26T16:24:54Z
