Transmitter,animal_short_name,Transmitter_SN,tag_family,capture_method,tag_lat,tag_lon,tag_location,sex,est_tag_expiry_date,Owner,standard_length_cm,disk_length,SciName,TNL_cm,when_encountered,last_detection,first_detection,number_of_detections
A69-1601-62047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-27T20:54:21Z,2020-10-12T02:29:22Z,314201
A69-1601-62096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-12T16:16:08Z,2021-10-29T21:26:51Z,172489
A69-1602-9721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-04T14:42:06Z,2019-07-02T18:18:19Z,41007
A69-1602-9720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-08-28T23:26:11Z,2018-07-19T19:54:56Z,34480
A69-1602-16713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-11T19:22:09Z,2019-05-31T17:50:16Z,31734
A69-1602-9712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-04-11T19:03:08Z,2018-07-19T18:45:07Z,25638
A69-1602-9719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-02-22T00:24:24Z,2019-07-01T20:23:42Z,23042
A69-1602-16715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-17T11:19:37Z,2019-10-17T17:09:12Z,20168
A69-1602-9723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-02-22T23:29:10Z,2018-07-19T18:45:32Z,17331
A69-1602-9716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-27T22:14:10Z,2018-08-14T16:12:07Z,13080
A69-1602-9713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-25T15:37:45Z,2019-07-03T18:07:37Z,12313
A69-1602-16716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-08-03T02:14:27Z,2019-05-30T22:02:54Z,11813
A69-1602-16712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-12T13:25:32Z,2019-10-17T17:08:21Z,7776
A69-1602-9718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-25T07:47:49Z,2018-07-19T19:24:34Z,7594
A69-9001-2552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-17T14:55:52Z,2022-02-14T04:22:07Z,4491
A69-1602-16710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-27T09:00:47Z,2020-10-15T13:40:58Z,3035
A69-1601-62009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-12-09T17:50:17Z,2020-11-11T18:54:52Z,2596
