"","Station.Name","Detections","Longitude","Latitude","Island"
"1","WCO_Cuyler",14812,-120.34552,34.05695,"San Miguel"
"2","WCO_Tyler Bight",11507,-120.33106,34.01592,"San Miguel"
"3","WCO_Johnson's Lee",36959,-120.12787,33.8958,"Santa Rosa"
"4","WCO_Carrington Point",8708,-120.0829,34.02515,"Santa Rosa"
"5","WCO_Trailers",13473,-119.91005,34.05095,"Santa Cruz"
"6","WCO_MorsePoint",9861,-119.85468,33.96657,"Santa Cruz"
"7","WCO_Hazards_Profile",7349,-119.84155,34.06613,"Santa Cruz"
"8","WCO_Mohawk LTER",14,-119.73,34.39433,"Mainland"
"9","WCO_Pelican",5036,-119.69667,34.03068,"Santa Cruz"
"10","WCO_Valley",7882,-119.66998,33.97822,"Santa Cruz"
"11","WCO_Scorpion",41050,-119.55995,34.05487,"Santa Cruz"
"12","WCO_Carpinteria",9441,-119.5399,34.39015,"Mainland"
"13","WCO_Smugglers",20654,-119.53817,34.01188,"Santa Cruz"
"14","WCO_Winfield Scott",40724,-119.39558,34.00868,"Anacapa"
"15","WCO_Anacapa South",62196,-119.36802,34.01028,"Anacapa"
