"","Station.Name","Longitude","Latitude"
"1","SB-10",-119.0228,33.48382
"2","SB-7",-119.04183,33.46367
"3","SB-8",-119.0348,33.46065
"4","WCO_Anacapa South",-119.36802,34.01028
"5","WCO_Carpinteria",-119.5399,34.39015
"6","WCO_Carrington Point",-120.0829,34.02515
"7","WCO_Cuyler",-120.34552,34.05695
"8","WCO_Hazards_Profile",-119.84155,34.06613
"9","WCO_Johnson's Lee",-120.12787,33.8958
"10","WCO_MPA_Corner",-119.0276,33.46488
"11","WCO_Mohawk LTER",-119.73,34.39433
"12","WCO_MorsePoint",-119.85468,33.96657
"13","WCO_Mound_Inshore",-119.0193,33.4879
"14","WCO_Mound_Offshore",-119.0168,33.4876
"15","WCO_Pelican",-119.69667,34.03068
"16","WCO_SB_1",-119.025,33.488
"17","WCO_SB_10",-119.0228,33.484
"18","WCO_SB_2",-119.03167,33.49052
"19","WCO_SB_3",-119.04055,33.487
"20","WCO_SB_4",-119.04978,33.48554
"21","WCO_SB_5",-119.04763,33.476
"22","WCO_SB_6",-119.04572,33.468
"23","WCO_SB_7",-119.04183,33.464
"24","WCO_SB_8",-119.0348,33.461
"25","WCO_SB_9",-119.02602,33.471
"26","WCO_SB_9_5",-119.02422,33.4777
"27","WCO_Scorpion",-119.55995,34.05487
"28","WCO_Smugglers",-119.53817,34.01188
"29","WCO_Sutil",-119.05296,33.46333
"30","WCO_Trailers",-119.91005,34.05095
"31","WCO_Tyler Bight",-120.33106,34.01592
"32","WCO_UW_Arch",-119.06325,33.48115
"33","WCO_Valley",-119.66998,33.97822
"34","WCO_WR_C",-119.05918,33.48881
"35","WCO_WR_E",-119.05283,33.49324
"36","WCO_WR_W",-119.0686,33.49152
"37","WCO_Winfield Scott",-119.39558,34.00868
