Transmitter,Days_Detected,First_Detection,Last_Detection,animal_short_name,Transmitter_SN,tag_family,when_encountered,capture_method,tag_lat,tag_lon,tag_location,sex,TNL_cm,SciName,est_tag_expiry_date,Owner,standard_length_cm,disk_length,FL
A69-1601-62047,980,2020-10-12,2024-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stereolepis gigas,NA,Ryan Freedman,NA,NA,NA
A69-1601-62096,867,2021-10-29,2024-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stereolepis gigas,NA,Ryan Freedman,NA,NA,NA
A69-1602-16713,536,2019-05-31,2022-06-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stereolepis gigas,NA,Ryan Freedman,NA,NA,NA
A69-1602-9721,536,2019-07-02,2021-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stereolepis gigas,NA,Ryan Freedman,NA,NA,NA
A69-1602-9712,382,2018-07-19,2020-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stereolepis gigas,NA,Ryan Freedman,NA,NA,NA
A69-1602-9719,317,2019-07-01,2021-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stereolepis gigas,NA,Ryan Freedman,NA,NA,NA
A69-1602-9720,310,2018-07-19,2020-08-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stereolepis gigas,NA,Ryan Freedman,NA,NA,NA
A69-1602-16715,307,2019-10-17,2022-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stereolepis gigas,NA,Ryan Freedman,NA,NA,NA
A69-1602-16712,280,2019-10-17,2021-06-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stereolepis gigas,NA,Ryan Freedman,NA,NA,NA
A69-1602-9723,251,2018-07-19,2021-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stereolepis gigas,NA,Ryan Freedman,NA,NA,NA
A69-1601-27075,224,2015-05-20,2020-11-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seriola lalandi,NA,Noah Ben-Aderet,NA,NA,NA
A69-9001-8559,197,2019-09-12,2024-02-15,NA,1301935,NA,2019-07-04,NA,NA,NA,NCI,F,154,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,135
A69-1602-9716,182,2018-08-14,2019-11-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stereolepis gigas,NA,Ryan Freedman,NA,NA,NA
A69-1602-9718,179,2018-07-19,2019-09-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stereolepis gigas,NA,Ryan Freedman,NA,NA,NA
A69-9001-2552,175,2022-02-14,2024-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Notorynchus cepedianus,NA,Taylor Chapple,NA,NA,NA
A69-9001-24655,174,2015-11-09,2021-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,NA
A69-1602-16716,155,2019-05-30,2020-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stereolepis gigas,NA,Ryan Freedman,NA,NA,NA
A69-1602-3228,141,2020-09-07,2021-10-16,2020-44,1276575,V13-1x-069k-3,2020-09-04,dart,34.397899,-119.539882,Carpinteria,F,243,Carcharodon carcharias,6/19/2022,Chris Lowe,NA,NA,NA
A69-9004-12207,136,2023-01-27,2024-05-03,2022-42,1513500,V16P-6x-BLU-2-0204m,2022-07-18,dart,32.916112,-117.26228,Torrey Pines,F,213.4,Carcharodon carcharias,7/15/2032,Chris Lowe,NA,NA,NA
A69-1602-9713,120,2019-07-03,2021-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stereolepis gigas,NA,Ryan Freedman,NA,NA,NA
A69-9001-4324,119,2020-07-20,2021-11-22,2020-12,1342045,V16-4x-069k-2,2020-04-26,dart,34.404,-119.5475,Carpinteria,F,230,Carcharodon carcharias,4/25/2024,Chris Lowe,NA,NA,NA
A69-9001-13354,117,2019-08-07,2024-03-16,NA,1273161,NA,2019-07-02,NA,NA,NA,NCI,F,114,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,91
A69-1602-16710,104,2020-10-15,2021-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stereolepis gigas,NA,Ryan Freedman,NA,NA,NA
A69-9001-22774,104,2017-05-21,2021-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,NA
A69-9004-12188,103,2022-09-28,2023-04-03,2022-60,1513481,V16P-6x-BLU-2-0204m,2022-09-02,dart,32.9154,-117.26067,Torrey Pines,F,213.4,Carcharodon carcharias,8/30/2032,Chris Lowe,NA,NA,NA
A69-9001-24665,84,2016-10-01,2022-08-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,NA
A69-9001-4328,80,2020-07-20,2021-01-01,2020-16,1342049,V16-4x-069k-2,2020-04-26,dart,34.404,-119.5475,Carpinteria,F,315,Carcharodon carcharias,4/25/2024,Chris Lowe,NA,NA,NA
A69-9001-4332,80,2020-09-25,2021-11-30,2020-18,1342053,V16-4x-069k-2,2020-05-06,dart,34.404,-119.5475,Carpinteria,F,229,Carcharodon carcharias,5/5/2024,Chris Lowe,NA,NA,NA
A69-1601-27071,70,2016-09-16,2019-02-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seriola lalandi,NA,Noah Ben-Aderet,NA,NA,NA
A69-9001-4339,70,2021-03-21,2021-11-28,2021-02,1342060,V16-4x-069k-3,2021-03-17,dart,34.405808,-119.5519,Carpinteria,F,183,Carcharodon carcharias,3/16/2025,Chris Lowe,NA,NA,NA
A69-9001-22777,69,2017-06-20,2020-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,NA
A69-9006-7849,68,2020-07-20,2021-01-15,2020-21,1342087,V13P-1x-069k-3-0034m,2020-05-21,dart,34.404,-119.5475,Carpinteria,U,183,Carcharodon carcharias,1/13/2021,Chris Lowe,NA,NA,NA
A69-9002-3593,65,2021-07-05,2022-12-09,2021-18,1382587,V16TP-6x-BLU-2-0204m,2021-06-01,dart,34.398305,-119.541996,Carpinteria,F,220,Carcharodon carcharias,5/30/2031,Chris Lowe,NA,NA,NA
A69-1602-8666,64,2020-11-21,2022-02-06,2020-29,1295004,V13-1x-069k-3,2020-07-01,dart,32.962613,-117.268841,Del Mar,U,227,Carcharodon carcharias,2/23/2022,Chris Lowe,NA,NA,NA
A69-1602-9714,64,2018-07-19,2020-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stereolepis gigas,NA,Ryan Freedman,NA,NA,NA
A69-9002-3592,64,2021-07-20,2022-12-19,2021-18,1382587,V16TP-6x-BLU-2-0204m,2021-06-01,dart,34.398305,-119.541996,Carpinteria,F,220,Carcharodon carcharias,5/30/2031,Chris Lowe,NA,NA,NA
A69-9001-13501,63,2018-10-17,2023-02-07,2018-12,1272172,V16-6x-069k-1,2018-08-29,gillnet,34.122052,-119.28785,Oxnard,M,160,Carcharodon carcharias,8/26/2028,Chris Lowe,NA,NA,NA
A69-9001-4342,61,2020-09-06,2021-10-14,2020-45,1342063,V16-4x-069k-2,2020-09-04,dart,34.397899,-119.539882,Carpinteria,F,305,Carcharodon carcharias,9/3/2024,Chris Lowe,NA,NA,NA
A69-9001-62307,56,2023-02-02,2024-04-28,2022-48,1394104,V16-6x-BLU-2,2022-08-09,dart,32.91023,-117.259,Torrey Pines,F,198.1,Carcharodon carcharias,8/6/2032,Chris Lowe,NA,NA,NA
A69-9001-55574,55,2023-01-30,2024-03-21,NA,NA,NA,NA,NA,NA,NA,Ano Nuevo 2022,NA,NA,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-9004-12186,54,2022-10-03,2023-04-30,2022-59,1513479,V16P-6x-BLU-2-0204m,2022-09-02,dart,32.91394,-117.26196,Torrey Pines,M,198.1,Carcharodon carcharias,8/30/2032,Chris Lowe,NA,NA,NA
A69-1602-9722,53,2018-07-19,2019-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stereolepis gigas,NA,Ryan Freedman,NA,NA,NA
A69-9001-24664,53,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,NA
A69-9006-7850,45,2020-07-20,2021-03-15,2020-32,1342088,V13P-1x-069k-3-0034m,2020-07-16,dart,34.397899,-119.539882,Carpinteria,F,243,Carcharodon carcharias,3/10/2021,Chris Lowe,NA,NA,NA
A69-9001-24384,43,2019-10-26,2022-05-24,2017-2MX,1195909,V16-6x-069k-2,2017-06-20,gillnet,27.86618,-114.3887,Unknown,M,152,Carcharodon carcharias,6/18/2027,Chris Lowe,NA,NA,NA
A69-9001-4326,42,2020-07-20,2020-12-12,2020-15,1342047,V16-4x-069k-2,2020-04-26,dart,34.404,-119.5475,Carpinteria,F,217,Carcharodon carcharias,12/19/2021,Chris Lowe,NA,NA,NA
A69-1602-8659,41,2020-08-03,2021-10-14,2020-36,1294997,V13-1x-069k-3,2020-07-31,dart,34.397899,-119.539882,Carpinteria,U,183,Carcharodon carcharias,3/25/2022,Chris Lowe,NA,NA,NA
A69-1602-8669,40,2020-07-31,2021-06-29,2020-35,1295007,V13-1x-069k-3,2020-07-31,dart,34.397899,-119.539882,Carpinteria,F,183,Carcharodon carcharias,3/25/2022,Chris Lowe,NA,NA,NA
